epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4003,0.42275,2.86956,1.06968,0.0019,1,0.71209,0.64579,0.35446,3.83202,1.00612,0.00028,0.00028,0.00028
2,55.0841,0.52367,2.30507,1.06701,0.0019,1,0.7349,0.53567,0.65959,4.23264,1.28465,0.000568516,0.000568516,0.000568516
3,81.0668,0.65131,1.99036,1.1827,0.66884,0.25326,0.53605,0.33702,0.73368,4.13641,1.50801,0.000845152,0.000845152,0.000845152
4,106.773,0.62008,1.82087,1.13797,0.78349,0.625,0.83195,0.66384,0.64895,3.68382,1.55052,0.00110991,0.00110991,0.00110991
5,131.425,0.63621,1.63269,1.17492,0.4719,0.5,0.62347,0.27984,1.17411,4.30512,2.23476,0.00136278,0.00136278,0.00136278
6,157.22,0.57851,1.86195,1.12272,0.71199,0.375,0.636,0.43739,1.08026,4.02767,1.77574,0.00160378,0.00160378,0.00160378
7,182.314,0.59587,1.83693,1.09006,0.23833,0.125,0.05319,0.03571,1.47172,5.13295,1.77282,0.0017624,0.0017624,0.0017624
8,207.339,0.629,1.71751,1.14323,1,0.23904,0.31146,0.21216,2.18243,4.76003,2.59852,0.0017228,0.0017228,0.0017228
9,231.938,0.69501,1.74402,1.19979,0.71766,0.5,0.69841,0.54474,0.89811,3.58103,1.75389,0.0016832,0.0016832,0.0016832
