epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2236,0.49178,5.25691,1.09787,0.96735,0.66667,0.76304,0.66368,0.50774,10.2269,1.28947,0.0003,0.0003,0.0003
2,138.535,0.48208,2.24661,1.04239,1,0.87425,0.88511,0.73813,0.67573,11.315,1.64249,0.000607724,0.000607724,0.000607724
3,203.183,0.69089,1.54361,1.2014,0.20331,0.66667,0.1554,0.06771,1.41724,10.6799,2.72257,0.000902776,0.000902776,0.000902776
4,272.902,0.7098,1.40507,1.24026,1,0.65762,0.75424,0.40982,1.14434,3.84785,2.4814,0.00118516,0.00118516,0.00118516
5,335.335,0.87705,1.29985,1.31784,0.65285,0.22222,0.20627,0.04942,3.0988,4.18917,4.70887,0.00145486,0.00145486,0.00145486
6,400.651,0.85753,1.2591,1.29037,0.01039,0.22222,0.00422,0.00085,3.87915,168.158,13.9382,0.0017119,0.0017119,0.0017119
7,468.799,0.82491,1.11205,1.2847,0.00033,0.11111,0.00035,0.00024,4.94923,33.8261,27.5322,0.0017624,0.0017624,0.0017624
